indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
65,1.0,R Aerial Pass,59:07:18,59:09:18,59:10:18,,G4,h10,G3,a5,,
66,39.0,R Grounded Pass,59:12:06,59:14:06,59:15:06,,B5,e1,TB,d4,,
67,40.0,R Grounded Pass,59:15:23,59:17:23,59:18:23,,TB,e5,B2,a11,Through Ball,
68,6.0,R Goal,59:17:22,59:19:22,59:20:22,,B2,c10,s15,,,
69,1.0,L Goal,59:25:09,59:27:09,59:28:09,,G2,h3,s14,,,
70,7.0,L Grounded Pass,59:39:14,59:41:14,59:42:14,,TB,b3,B5,e1,,
71,41.0,R Grounded Pass,59:41:08,59:43:08,59:44:08,,B5,e2,TB,a4,,
72,42.0,R Grounded Pass,59:42:08,59:44:08,59:45:08,,TB,a4,B3,h4,,
73,43.0,R Grounded Pass,59:45:15,59:47:15,59:48:15,,B3,h6,B5,a4,,
74,44.0,R Grounded Pass,59:50:19,59:52:19,59:53:19,,B5,b3,TB,a6,,
75,45.0,R Grounded Pass,59:51:20,59:53:20,59:54:20,,TB,a6,B3,g5,,
76,46.0,R Grounded Pass,59:54:02,59:56:02,59:57:02,,B3,g9,B2,e8,,
77,47.0,R Grounded Pass,59:58:12,60:00:12,60:01:12,,G4,i9,G2,i4,,
78,4.0,L Unsucc Pass,60:02:04,60:04:04,60:05:04,,G2,i4,TG,d2,,
79,2.0,L Goal,60:20:10,60:22:10,60:23:10,,G4,f3,s20,Big Chance,,
80,48.0,R Grounded Pass,60:36:06,60:38:06,60:39:06,,G4,h5,G2,g2,,
81,3.0,L Shot On,60:38:01,60:40:01,60:41:01,,G2,g2,s8,,,
82,5.0,R Unsucc Pass,60:45:10,60:47:10,60:48:10,,B2,b3,TB,f6,,
83,5.0,L Unsucc Pass,60:47:03,60:49:03,60:50:03,,G4,h6,G2,f3,,
84,6.0,R Unsucc Pass,60:52:20,60:54:20,60:55:20,,TB,i8,B2,c10,,
85,49.0,R Grounded Pass,60:56:05,60:58:05,60:59:05,,G3,f7,G2,h3,,
86,7.0,R Unsucc Pass,60:59:02,61:01:02,61:02:02,,B3,h8,B2,e10,,
87,2.0,R Aerial Pass,61:06:08,61:08:08,61:09:08,,B5,e1,B2,e10,Through Ball,HLs
88,7.0,R Goal,61:08:07,61:10:07,61:11:07,,B2,e11,s15,,,
89,3.0,R Aerial Pass,61:15:22,61:17:22,61:18:22,,G4,g10,TG,e5,,
90,4.0,R Shot On,61:31:03,61:33:03,61:34:03,,G4,f3,s14,HLs,,
91,8.0,R Goal,61:35:04,61:37:04,61:38:04,,G4,f2,s8,,,
92,50.0,R Grounded Pass,61:39:21,61:41:21,61:42:21,,B3,c1,B2,e3,,
93,9.0,R Goal,61:41:15,61:43:15,61:44:15,,TG,d3,s13,HLs,,
94,8.0,L Grounded Pass,61:51:23,61:53:23,61:54:23,,TB,h2,B3,b2,,
95,8.0,R Unsucc Pass,61:53:02,61:55:02,61:56:02,,B3,b2,B2,b3,,
96,9.0,R Unsucc Pass,61:58:08,62:00:08,62:01:08,,B5,e1,TB,e6,,
97,51.0,R Grounded Pass,62:02:17,62:04:17,62:05:17,,B5,e1,B3,b2,,
98,4.0,R Aerial Pass,62:07:17,62:09:17,62:10:17,,B3,b2,TB,i11,,
99,52.0,R Grounded Pass,62:10:08,62:12:08,62:13:08,,G4,g10,TG,d6,,
100,10.0,R Unsucc Pass,62:13:04,62:15:04,62:16:04,,TG,a2,G2,g2,,
101,11.0,R Unsucc Pass,62:17:12,62:19:12,62:20:12,,B5,g4,TB,d9,,
102,53.0,R Grounded Pass,62:39:21,62:41:21,62:42:21,,B3,c3,B2,b7,,
103,54.0,R Grounded Pass,62:40:12,62:42:12,62:43:12,,B2,b7,B3,c3,,
104,55.0,R Grounded Pass,62:42:15,62:44:15,62:45:15,,B3,c3,B5,e1,,
105,56.0,R Grounded Pass,62:44:06,62:46:06,62:47:06,,B5,e1,TB,f4,,
106,57.0,R Grounded Pass,62:51:23,62:53:23,62:54:23,,TB,e9,B3,c10,,
107,5.0,R Shot On,62:53:21,62:55:21,62:56:21,,B3,d10,s15,,,
