indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
286,54.0,R Grounded Pass,12:09:09,12:11:09,12:12:09,,B3,f5,TB,d5,,
287,55.0,R Grounded Pass,12:10:12,12:12:12,12:13:12,,TB,d5,B3,g2,,
288,56.0,R Grounded Pass,12:17:17,12:19:17,12:20:17,,TG,e10,G3,g11,,
289,7.0,R Shot Wide,12:19:15,12:21:15,12:22:15,,G3,g11,OT 7,,,
290,57.0,R Grounded Pass,12:33:14,12:35:14,12:36:14,,TB,f9,B3,a7,,
291,58.0,R Grounded Pass,12:44:22,12:46:22,12:47:22,,G3,a4,TG,d2,,
292,4.0,L Unsucc Pass,13:06:18,13:08:18,13:09:18,,TG,e3,G3,e11,,
293,59.0,R Grounded Pass,13:08:23,13:10:23,13:11:23,,B3,e9,TB,g6,,
294,60.0,R Grounded Pass,13:11:02,13:13:02,13:14:02,,TB,g4,B4,d4,,
295,22.0,R Unsucc Pass,13:14:12,13:16:12,13:17:12,,B4,d4,TB,f3,,
296,61.0,R Grounded Pass,13:25:20,13:27:20,13:28:20,,TB,g7,B3,h5,,
297,62.0,R Grounded Pass,13:28:00,13:30:00,13:31:00,,B3,g3,B4,d3,,
298,63.0,R Grounded Pass,13:30:08,13:32:08,13:33:08,,B4,d3,TB,g8,,
299,64.0,R Grounded Pass,13:30:14,13:32:14,13:33:14,,B4,d3,TB,h4,,
300,65.0,R Grounded Pass,13:35:01,13:37:01,13:38:01,,TB,e3,B4,c3,,
301,5.0,R Shot On,13:37:09,13:39:09,13:40:09,,B4,c3,s18,,,
302,66.0,R Grounded Pass,13:56:11,13:58:11,13:59:11,,TG,g4,G3,g9,,
303,6.0,R Shot On,14:00:07,14:02:07,14:03:07,,G3,f11,s22,Big Chance,,
304,67.0,R Grounded Pass,14:43:09,14:45:09,14:46:09,,B4,g9,TB,f9,,
305,68.0,R Grounded Pass,14:46:06,14:48:06,14:49:06,,TB,f9,B3,h11,,
306,69.0,R Grounded Pass,14:49:08,14:51:08,14:52:08,,B3,h11,TB,b10,,
307,70.0,R Grounded Pass,14:54:19,14:56:19,14:57:19,,TB,b4,B4,e4,,
308,23.0,R Unsucc Pass,14:59:11,15:01:11,15:02:11,,G3,h3,TG,i9,,
309,24.0,R Unsucc Pass,15:01:11,15:03:11,15:04:11,,B3,g10,TB,e3,,
310,10.0,L Grounded Pass,15:05:06,15:07:06,15:08:06,,G3,c8,TG,f10,,
311,8.0,R Goal,15:17:08,15:19:08,15:20:08,,TG,e11,s23,,,
312,25.0,R Unsucc Pass,15:24:10,15:26:10,15:34:23,,B3,g10,TB,e12,,
313,71.0,R Grounded Pass,15:32:23,15:34:23,15:35:23,,TG,e10,G3,e12,Through Ball,
314,9.0,R Goal,15:35:05,15:37:05,15:38:05,,G3,e12,s22,Tap In,Big Chance,
315,72.0,R Grounded Pass,15:45:17,15:47:17,15:48:17,,B4,f4,TB,c3,,
316,10.0,R Goal,15:49:00,15:51:00,15:52:00,,TB,e3,s22,,,
317,73.0,R Grounded Pass,15:59:22,16:01:22,16:02:22,,TG,a4,G3,i6,,
318,74.0,R Grounded Pass,16:00:19,16:02:19,16:03:19,,G3,i6,TG,g4,,
319,11.0,L Grounded Pass,16:11:01,16:13:01,16:14:01,,TG,g11,G3,h10,,
320,75.0,R Grounded Pass,16:12:01,16:14:01,16:15:01,,G3,h10,TG,g12,,
321,76.0,R Grounded Pass,16:21:17,16:23:17,16:24:17,,TB,d11,B4,e8,HLs,
322,77.0,R Grounded Pass,16:33:15,16:35:15,16:36:15,,B3,e8,TB,d12,,
323,26.0,R Unsucc Pass,16:41:16,16:43:16,16:44:16,,e4,B3,h3,Blunder,,
324,78.0,R Grounded Pass,16:46:13,16:48:13,16:49:13,,G3,f12,TG,e10,,
325,12.0,L Grounded Pass,16:47:20,16:49:20,16:50:20,,TG,e10,G3,f12,,
326,1.0,L Shot On,16:48:08,16:50:08,16:51:08,,G3,f12,s16,Tap In,Big Chance,Bloopers
327,79.0,R Grounded Pass,16:50:13,16:52:13,16:53:13,,TB,e12,B3,i8,,
328,80.0,R Grounded Pass,16:53:13,16:55:13,16:56:13,,B3,i8,TB,e1,Through Ball,HLs
329,2.0,L Goal,16:56:16,16:58:16,16:59:16,,TB,e1,s20,,,
330,1.0,Own Goal,17:10:10,17:12:10,17:13:10,,G3,f3,s14,Bloopers,,
331,11.0,R Goal,17:23:24,17:25:24,17:26:24,,TG,e11,s14,,,
332,81.0,R Grounded Pass,17:32:24,17:34:24,17:35:24,,G3,c9,TG,e3,,
333,3.0,L Goal,17:46:10,17:48:10,17:49:10,,TG,f12,s8,,,
334,82.0,R Grounded Pass,18:10:18,18:12:18,18:13:18,,TG,f11,G3,d12,,
335,12.0,R Goal,18:11:08,18:13:08,18:14:08,,G3,d12,s10,,,
336,83.0,R Grounded Pass,18:21:01,18:23:01,18:24:01,,TB,h12,B3,h8,,
337,84.0,R Grounded Pass,18:25:00,18:27:00,18:28:00,,B3,g3,B4,e4,,
338,85.0,R Grounded Pass,18:26:21,18:28:21,18:29:21,,B4,e4,B3,d2,,
339,13.0,R Goal,18:28:17,18:30:17,18:31:17,,B3,d2,s14,,,
340,14.0,R Goal,18:37:24,18:39:24,18:40:24,,B4,f1,s22,Big Chance,,
341,13.0,L Grounded Pass,18:52:17,18:54:17,18:55:17,,TG,c12,G3,f11,HLs,
342,15.0,R Goal,18:54:06,18:56:06,18:57:06,,G3,f11,s24,Tap In,,
343,86.0,R Grounded Pass,19:04:09,19:06:09,19:07:09,,B4,i3,TB,f3,,
344,7.0,R Shot On,19:06:09,19:08:09,19:09:09,,TB,e2,s16,Bloopers,,
345,14.0,L Grounded Pass,19:18:24,19:20:24,19:21:24,,TB,c4,B4,f3,,
346,87.0,R Grounded Pass,19:21:10,19:23:10,19:24:10,,B4,f2,TB,d3,,
347,16.0,R Goal,19:24:16,19:26:16,19:27:16,,TB,f1,s22,Big Chance,,
348,15.0,L Grounded Pass,19:37:03,19:39:03,19:40:03,,TG,g9,G3,g3,,
349,88.0,R Grounded Pass,19:37:22,19:39:22,19:40:22,,G3,g4,TG,d4,,
350,4.0,L Goal,19:44:14,19:46:14,19:47:14,,TG,f12,s8,,,
351,89.0,R Grounded Pass,19:55:13,19:57:13,19:58:13,,TB,e5,B3,a4,,
352,17.0,R Goal,19:58:09,20:00:09,20:01:09,,B3,b1,s13,,,
353,18.0,R Goal,20:25:06,20:27:06,20:28:06,,TG,d12,s22,,,
354,90.0,R Grounded Pass,20:36:05,20:38:05,20:39:05,,B3,a8,TB,g4,,
355,16.0,L Grounded Pass,20:54:18,20:56:18,20:57:18,,G3,g10,TG,g4,,
356,19.0,R Goal,21:01:01,21:03:01,21:04:01,,TG,f12,s10,,,
357,91.0,R Grounded Pass,21:12:15,21:14:15,21:15:15,,B3,b10,TB,e11,,
358,17.0,L Grounded Pass,21:14:17,21:16:17,21:17:17,,TB,e11,B3,b11,,
359,92.0,R Grounded Pass,21:17:20,21:19:20,21:20:20,,B3,b11,TB,c8,,
360,93.0,R Grounded Pass,21:23:19,21:25:19,21:26:19,,G3,e8,TG,f11,,
361,94.0,R Grounded Pass,21:26:10,21:28:10,21:29:10,,TG,f11,G3,e10,,
362,18.0,L Grounded Pass,21:26:24,21:28:24,21:29:24,,G3,e10,TG,c12,,
363,20.0,R Goal,21:29:12,21:31:12,21:32:12,,TG,d12,s17,Big Chance,,
364,5.0,R Aerial Pass,21:40:14,21:42:14,21:43:14,,B3,c10,B4,c5,,
365,3.0,R Shot Post,21:44:00,21:46:00,21:48:13,,B4,c2,s13,Bloopers,,
366,1.0,R Grounded Pass,45:26:22,45:28:22,45:29:22,,B5,e11,TB,f9,,
367,1.0,R Goal,46:00:00,46:02:00,46:03:00,,TG,e11,s24,,,
368,1.0,R Unsucc Pass,46:08:00,46:10:00,46:11:00,,B5,a10,TB,f11,,
369,1.0,L Goal,46:45:24,46:47:24,46:48:24,,TG,e11,s19,,,
370,2.0,R Grounded Pass,47:08:09,47:10:09,47:11:09,,TB,c10,B5,a9,,
371,3.0,R Grounded Pass,47:10:22,47:12:22,47:13:22,,B5,b9,TB,d6,,
372,1.0,R Shot Wide,48:50:23,48:52:23,48:53:23,,B5,f3,OT 6,,,
373,2.0,R Goal,50:00:13,50:02:13,50:03:13,,TB,e3,s22,,,
374,1.0,L Grounded Pass,51:02:04,51:04:04,51:05:04,,B5,i9,TB,g9,,
375,2.0,L Goal,51:34:16,51:36:16,51:37:16,,TG,g10,s7,,,
376,3.0,L Goal,52:11:09,52:13:09,52:14:09,,TG,e11,s20,,,
377,2.0,R Unsucc Pass,52:22:01,52:24:01,52:25:01,,B5,a8,TB,f3,,
378,3.0,R Goal,52:34:21,52:36:21,52:37:21,,TB,f3,s21,,,
379,4.0,R Goal,54:11:04,54:13:04,54:14:04,,TG,d8,s8,,,
380,4.0,R Grounded Pass,54:28:13,54:30:13,54:31:13,,B5,a2,TB,d3,,
381,5.0,R Goal,54:29:09,54:31:09,54:32:09,,TB,d3,s22,Big Chance,Tap In,
382,5.0,R Grounded Pass,55:17:15,55:19:15,55:20:15,,TB,f5,B5,g2,,
383,3.0,R Unsucc Pass,55:19:06,55:21:06,55:22:06,,B5,h2,TB,g5,,
384,6.0,R Grounded Pass,56:06:18,56:08:18,56:13:21,,B5,e11,TB,b6,HLs,
385,4.0,L Goal,56:43:23,56:45:23,56:46:23,,TG,d9,s14,,,
386,6.0,R Goal,57:40:00,57:42:00,57:43:00,,TG,i9,s10,,,
387,7.0,R Grounded Pass,57:56:05,57:58:05,57:59:05,,TB,f8,TB,f3,Through Ball,
388,8.0,R Grounded Pass,57:59:24,58:01:24,58:02:24,,B6,h9,TB,h3,,
389,9.0,R Grounded Pass,58:28:05,58:30:05,58:31:05,,B5,g8,TB,e8,,
390,7.0,R Goal,59:28:07,59:30:07,59:31:07,,TB,e3,s18,,,
391,8.0,R Goal,59:58:05,60:00:05,60:01:05,,TG,e10,s19,,,
392,4.0,R Unsucc Pass,60:08:01,60:10:01,60:11:01,,B6,g11,TB,a8,,
393,5.0,L Goal,60:16:10,60:18:10,60:19:10,,TG,f11,s17,,,
394,10.0,R Grounded Pass,62:25:21,62:27:21,62:28:21,,B6,a3,TB,e3,,
395,9.0,R Goal,62:30:05,62:32:05,62:33:05,,TG,e10,s21,,,
396,1.0,R Shot On,63:09:12,63:11:12,63:12:12,,TG,g10,s10,Bloopers,,
397,10.0,R Goal,64:43:18,64:45:18,64:46:18,,TB,f2,s13,,,
398,11.0,R Goal,65:11:13,65:13:13,65:14:13,,TB,c5,s17,,,
399,11.0,R Grounded Pass,66:31:09,66:33:09,66:34:09,,B6,h10,B5,e12,,
400,12.0,R Grounded Pass,66:31:22,66:33:22,66:34:22,,B5,e12,B6,h11,,
401,5.0,R Unsucc Pass,69:15:01,69:17:01,69:18:01,,TB,a2,B5,e2,,
402,1.0,R Grounded Pass,42:47:22,42:49:22,42:50:22,,TG,f6,G4,c4,,
403,2.0,R Grounded Pass,43:11:14,43:13:14,43:14:14,,TG,e6,G4,f5,,
404,1.0,R Unsucc Pass,43:14:05,43:16:05,43:17:05,,G4,f5,TG,c2,,
405,3.0,R Grounded Pass,43:48:24,43:50:24,43:51:24,,G4,i5,TG,h3,,
406,1.0,R Shot Wide,43:50:23,43:52:23,43:53:23,,G5,e2,OT 1,Bloopers,,
407,4.0,R Grounded Pass,44:00:21,44:02:21,44:03:21,,B6,f2,TB,a4,,
408,1.0,L Grounded Pass,44:02:08,44:04:08,44:05:08,,TB,d4,B3,f5,,
409,5.0,R Grounded Pass,44:07:10,44:09:10,44:10:10,,B3,e4,TB,a8,,
410,6.0,R Grounded Pass,44:23:24,44:25:24,44:26:24,,B6,e3,TB,a5,,
411,7.0,R Grounded Pass,44:26:21,44:28:21,44:29:21,,TB,e7,B3,b9,,
412,1.0,R Aerial Pass,44:30:06,44:32:06,44:33:06,,B3,c9,TB,f10,,
413,1.0,R Goal,44:31:11,44:33:11,44:34:11,,TB,f10,s16,Big Chance,,
414,2.0,R Unsucc Pass,45:24:24,45:26:24,45:27:24,,B3,e5,TB,g9,,
415,1.0,R Shot On,45:54:22,45:56:22,45:57:22,,G5,d3,s16,,,
416,8.0,R Grounded Pass,46:51:17,46:53:17,46:54:17,,TB,g10,B3,f8,,
417,2.0,R Shot Wide,46:54:05,46:56:05,46:57:05,,B3,f9,OT 5,,,
418,9.0,R Grounded Pass,47:19:14,47:21:14,47:22:14,,B3,e3,B6,e2,,
419,10.0,R Grounded Pass,47:21:24,47:23:24,47:24:24,,B6,e3,TB,e8,,
420,11.0,R Grounded Pass,47:36:13,47:38:13,47:39:13,,B6,e2,TB,h3,,
421,12.0,R Grounded Pass,47:38:18,47:40:18,47:41:18,,TB,g3,B3,b4,,
422,13.0,R Grounded Pass,47:42:20,47:44:20,47:45:20,,B3,b4,TB,b7,,
423,14.0,R Grounded Pass,47:53:06,47:55:06,47:56:06,,B6,c3,B3,a6,,
424,15.0,R Grounded Pass,47:55:05,47:57:05,47:58:05,,B3,a6,B6,c3,,
425,16.0,R Grounded Pass,47:56:12,47:58:12,47:59:12,,B6,c3,TB,c7,,
426,2.0,L Grounded Pass,48:04:16,48:06:16,48:07:16,,TB,e10,B3,c11,,
427,2.0,R Goal,48:06:09,48:08:09,48:09:09,,B3,c11,s15,,,
428,17.0,R Grounded Pass,48:45:20,48:47:20,48:48:20,,G5,i8,TG,e10,,
429,3.0,R Shot Wide,49:07:23,49:09:23,49:10:23,,B3,c9,OT 6,,,
430,4.0,R Shot Wide,49:48:08,49:50:08,49:51:08,,TG,d2,OT 8,Bloopers,,
431,18.0,R Grounded Pass,50:00:05,50:02:05,50:03:05,,TB,c3,B3,a6,,
432,19.0,R Grounded Pass,50:03:06,50:05:06,50:06:06,,B3,a6,TB,e11,Through Ball,
433,3.0,R Goal,50:07:22,50:09:22,50:10:22,,TB,e11,s17,,,
434,20.0,R Grounded Pass,51:05:20,51:07:20,51:08:20,,TG,d9,G4,f5,,
435,21.0,R Grounded Pass,51:06:21,51:08:21,51:09:21,,G4,f5,TG,b3,,
436,22.0,R Grounded Pass,51:20:01,51:22:01,51:23:01,,B3,h3,B6,d4,,
437,23.0,R Grounded Pass,51:23:00,51:25:00,51:26:00,,B6,d4,TB,g7,,
438,4.0,R Goal,51:36:02,51:38:02,51:39:02,,TB,d9,s6,,,
439,3.0,R Unsucc Pass,51:45:11,51:47:11,51:48:11,,TG,c4,G4,e3,,
440,24.0,R Grounded Pass,52:04:12,52:06:12,52:07:12,,TB,a12,B6,c9,,
441,1.0,R Shot Post,52:07:05,52:09:05,52:10:05,,B6,f10,s19,,,
442,25.0,R Grounded Pass,52:28:23,52:30:23,52:31:23,,B6,g8,B3,e1,,
443,26.0,R Grounded Pass,52:35:04,52:37:04,52:38:04,,B3,e1,TB,c4,,
444,27.0,R Grounded Pass,52:42:24,52:44:24,52:45:24,,TG,f11,G4,e9,,
445,28.0,R Grounded Pass,52:48:02,52:50:02,52:51:02,,G4,g9,TG,b4,HLs,
446,4.0,R Unsucc Pass,52:55:03,52:57:03,52:58:03,,TG,a4,G4,e4,,
447,29.0,R Grounded Pass,53:55:23,53:57:23,53:58:23,,TB,i3,B6,i5,,
448,30.0,R Grounded Pass,54:01:17,54:03:17,54:04:17,,TG,g3,G4,c3,,
449,31.0,R Grounded Pass,54:02:18,54:04:18,54:05:18,,G4,c3,TG,e3,,
450,32.0,R Grounded Pass,54:22:12,54:24:12,54:25:12,,B6,e4,TB,f7,,
451,33.0,R Grounded Pass,54:30:17,54:32:17,54:33:17,,TB,c7,B6,d7,,
452,5.0,R Unsucc Pass,54:32:06,54:34:06,54:35:06,,B6,d7,TB,f11,,
453,34.0,R Grounded Pass,54:35:24,54:37:24,54:38:24,,G4,i5,TG,e3,,
454,6.0,R Unsucc Pass,54:50:11,54:52:11,54:53:11,,TG,h5,G4,c2,,
455,35.0,R Grounded Pass,54:57:11,54:59:11,55:00:11,,B6,g2,TB,b4,,
456,36.0,R Grounded Pass,55:18:18,55:20:18,55:21:18,,B6,g10,TB,e9,,
457,37.0,R Grounded Pass,55:29:06,55:31:06,55:32:06,,TG,e3,G4,c2,,
458,38.0,R Grounded Pass,55:29:22,55:31:22,55:32:22,,G4,c2,TG,f2,,
459,39.0,R Grounded Pass,55:32:24,55:34:24,55:35:24,,TG,g2,G4,e2,,
460,1.0,L Shot On,55:34:02,55:36:02,55:37:02,,G4,e2,s10,,,
461,40.0,R Grounded Pass,55:39:02,55:41:02,55:42:02,,G4,a4,TG,c5,HLs,
462,2.0,R Shot On,55:42:14,55:44:14,55:45:14,,G5,c3,s12,HLs,,
463,41.0,R Grounded Pass,55:59:23,56:01:23,56:02:23,,TB,g3,B6,e2,,
464,42.0,R Grounded Pass,56:01:06,56:03:06,56:04:06,,B6,e3,TB,d8,,
465,7.0,R Unsucc Pass,56:07:23,56:09:23,56:10:23,,TB,b5,B3,d1,,
466,43.0,R Grounded Pass,56:30:22,56:32:22,56:33:22,,B6,d7,TB,g11,Through Ball,
467,44.0,R Grounded Pass,56:34:16,56:36:16,56:37:16,,TB,g10,B6,e9,,
468,45.0,R Grounded Pass,56:39:19,56:41:19,56:42:19,,B6,f10,TB,d11,Through Ball,
469,5.0,R Goal,56:40:23,56:42:23,56:43:23,,TB,d11,s15,Big Chance,,
470,3.0,R Shot On,56:47:13,56:49:13,56:50:13,,G5,g3,s22,,,
471,46.0,R Grounded Pass,56:52:01,56:54:01,56:55:01,,TB,h5,B6,h7,,
472,8.0,R Unsucc Pass,56:54:00,56:56:00,56:57:00,,B6,h7,TB,c9,,
473,47.0,R Grounded Pass,56:57:23,56:59:23,57:00:23,,TG,d3,G4,f4,,
474,3.0,L Grounded Pass,56:59:15,57:01:15,57:02:15,,G4,f4,TG,d3,,
475,6.0,R Goal,57:06:21,57:08:21,57:09:21,,TB,d11,s11,,,
476,48.0,R Grounded Pass,57:56:17,57:58:17,57:59:17,,G5,a7,G4,g3,,
477,7.0,R Goal,58:01:22,58:03:22,58:04:22,,G4,g3,s11,HLs,,
478,8.0,R Goal,58:55:16,58:57:16,58:58:16,,G5,e2,s15,,,
479,49.0,R Grounded Pass,59:14:06,59:16:06,59:17:06,,TG,d4,G4,f3,,
480,50.0,R Grounded Pass,59:46:21,59:48:21,59:49:21,,TG,a5,G4,i5,,
481,51.0,R Grounded Pass,59:48:06,59:50:06,59:51:06,,G4,i5,TG,e10,,
482,4.0,R Shot On,59:52:10,59:54:10,59:55:10,,TG,e8,s15,HLs,,
483,52.0,R Grounded Pass,60:10:16,60:12:16,60:13:16,,TB,b5,B3,b8,,
484,4.0,L Grounded Pass,60:41:21,60:43:21,60:44:21,,B3,h8,TB,g5,,
485,5.0,L Grounded Pass,61:00:15,61:02:15,61:03:15,,TB,b3,B3,c2,,
486,53.0,R Grounded Pass,61:05:15,61:07:15,61:08:15,,B3,c2,TB,g9,,
487,2.0,R Aerial Pass,61:28:04,61:30:04,61:31:04,,TG,c8,G4,g3,,
488,9.0,R Goal,61:31:04,61:33:04,61:34:04,,G4,g3,s12,,,
489,54.0,R Grounded Pass,61:47:07,61:49:07,61:50:07,,B3,g2,TB,h5,,
490,55.0,R Grounded Pass,62:01:14,62:03:14,62:04:14,,TG,f7,G4,g4,,
491,56.0,R Grounded Pass,62:03:08,62:05:08,62:06:08,,G4,g4,TG,c3,,
492,1.0,L Unsucc Pass,62:04:17,62:06:17,62:07:17,,TG,c3,G4,f2,,
493,57.0,R Grounded Pass,62:09:17,62:11:17,62:12:17,,G5,e6,G4,h3,,
494,10.0,R Goal,62:11:02,62:13:02,62:14:02,,G4,h3,s4,,,
495,58.0,R Grounded Pass,62:40:08,62:42:08,62:43:08,,G5,d4,TG,c2,,
496,6.0,L Grounded Pass,62:58:10,63:00:10,63:01:10,,TB,b3,B3,e3,,
497,59.0,R Grounded Pass,63:01:17,63:03:17,63:04:17,,B3,f9,TB,f11,,
498,1.0,R Grounded Pass,53:12:15,53:14:15,53:15:15,,TG,e6,G2,h10,,
499,2.0,R Grounded Pass,53:13:02,53:15:02,53:16:02,,G2,h10,TG,i8,,
500,1.0,R Goal,53:25:18,53:27:18,53:28:18,,TG,f12,s16,,,
501,1.0,L Grounded Pass,53:33:10,53:35:10,53:36:10,,TB,i9,B4,g7,,
502,3.0,R Grounded Pass,53:36:06,53:38:06,53:39:14,,B4,g7,TB,c4,Through Ball,
503,2.0,L Grounded Pass,53:45:08,53:47:08,53:48:08,,B4,g7,TB,i5,,
504,4.0,R Grounded Pass,53:47:12,53:49:12,53:50:12,,TB,h5,B4,h5,,
505,5.0,R Grounded Pass,54:04:13,54:06:13,54:07:13,,TG,b8,G2,h10,,
506,3.0,L Grounded Pass,54:14:19,54:16:19,54:17:19,,TB,e5,B4,e8,,
507,1.0,R Shot On,54:18:15,54:20:15,54:21:15,,B4,e5,s10,,,
508,2.0,R Goal,54:32:09,54:34:09,54:35:09,,TG,e12,s21,,,
509,6.0,R Grounded Pass,54:41:00,54:43:00,54:44:00,,TB,e12,B6,c11,,
510,1.0,R Unsucc Pass,54:45:04,54:47:04,54:48:04,,B6,b5,TB,g3,,
511,7.0,R Grounded Pass,54:49:16,54:51:16,54:52:16,,TG,c11,G2,f11,,
512,2.0,R Shot On,54:50:07,54:52:07,54:53:07,,G2,f11,s9,,,
513,3.0,R Shot On,54:56:09,54:58:09,54:59:09,,G2,f11,s10,,,
514,8.0,R Grounded Pass,55:12:20,55:14:20,55:15:20,,TG,h7,G2,d7,,
515,2.0,R Unsucc Pass,55:15:00,55:17:00,55:18:00,,G2,d7,TG,f10,,
516,4.0,L Grounded Pass,55:18:07,55:20:07,55:21:07,,B5,g6,B4,b2,,
517,1.0,R Shot Wide,55:20:23,55:22:23,55:23:23,,B4,b2,OT 7,,,
518,9.0,R Grounded Pass,55:24:13,55:26:13,55:27:13,,G2,c7,TG,c4,,
519,10.0,R Grounded Pass,55:31:15,55:33:15,55:35:00,,TG,c9,G2,c8,HLs,
520,2.0,R Shot Wide,55:33:21,55:35:21,55:36:21,,G2,c8,OT 7,,,
521,3.0,R Unsucc Pass,55:51:11,55:53:11,55:54:11,,TB,a4,B4,e4,,
522,11.0,R Grounded Pass,55:53:00,55:55:00,55:56:00,,TG,d6,G2,e7,,
523,4.0,R Shot On,55:58:06,56:00:06,56:01:06,,G2,c8,s20,HLs,,
524,3.0,R Goal,56:02:16,56:04:16,56:05:16,,B4,d5,s16,,,
525,12.0,R Grounded Pass,56:07:01,56:09:01,56:10:01,,G2,d5,TG,f3,,
526,13.0,R Grounded Pass,56:24:11,56:26:11,56:27:11,,B4,a4,TB,g3,Through Ball,
527,3.0,R Shot Wide,56:25:17,56:27:17,56:28:17,,TB,g3,OT 1,Big Chance,,
528,14.0,R Grounded Pass,56:33:02,56:35:02,56:36:02,,G2,d3,TG,c6,,
529,15.0,R Grounded Pass,56:43:20,56:45:20,56:46:20,,B6,b11,TB,e11,,
530,16.0,R Grounded Pass,56:45:14,56:47:14,56:48:14,,TB,e11,B6,a10,,
531,4.0,R Unsucc Pass,56:48:15,56:50:15,56:51:15,,B6,a10,B4,a5,,
532,17.0,R Grounded Pass,56:51:18,56:53:18,56:54:18,,G2,c8,TG,f11,,
533,4.0,R Goal,56:53:10,56:55:10,56:56:10,,TG,f11,s13,,,
534,5.0,R Goal,57:05:17,57:07:17,57:08:17,,TG,f10,s17,,,
535,6.0,R Grounded Pass,57:15:15,57:17:15,57:18:15,,B6,c10,B4,e8,,
536,1.0,L Shot Wide,57:19:12,57:21:12,57:22:12,,B4,g6,OT 8,,,
537,5.0,R Unsucc Pass,57:33:23,57:35:23,57:36:23,,B4,g3,TB,e2,,
538,5.0,R Shot On,57:36:12,57:38:12,57:39:12,,B4,f3,s10,,,
539,18.0,R Grounded Pass,57:57:17,57:59:17,58:00:17,,TB,c9,B4,e9,,
540,6.0,R Unsucc Pass,58:02:04,58:04:04,58:05:04,,B4,d4,TB,g2,,
541,7.0,R Goal,58:04:21,58:06:21,58:07:21,,TG,f7,s11,Long Range,,
542,1.0,L Unsucc Pass,58:15:07,58:17:07,58:18:07,,TB,i7,B4,f6,,
543,5.0,L Grounded Pass,58:23:15,58:25:15,58:26:15,,G2,f9,TG,a7,,
544,19.0,R Grounded Pass,58:33:06,58:35:06,58:36:06,,TG,c6,G2,d9,,
545,6.0,L Grounded Pass,58:35:20,58:37:20,58:38:20,,G2,d9,TG,g10,,
546,2.0,L Shot Wide,58:37:22,58:39:22,58:40:22,,TG,g10,OT 3,,,
547,20.0,R Grounded Pass,59:24:19,59:26:19,59:27:19,,G2,c9,TG,g10,,
548,6.0,R Shot On,59:38:21,59:40:21,59:41:21,,B5,f2,s22,Bloopers,Big Chance,
549,7.0,R Shot On,59:55:14,59:57:14,59:58:14,,B4,c12,s4,HLs,,
550,21.0,R Grounded Pass,60:20:13,60:22:13,60:23:13,,TB,a8,B4,a10,,
551,7.0,R Unsucc Pass,60:23:21,60:25:21,60:26:21,,B4,a10,TB,g3,,
552,22.0,R Grounded Pass,60:46:05,60:48:05,60:49:05,,G2,e4,TG,g2,,
553,23.0,R Grounded Pass,60:50:01,60:52:01,60:53:01,,TG,f3,G2,d3,,
554,24.0,R Grounded Pass,60:51:07,60:53:07,60:54:07,,G2,d3,TG,e6,,
555,7.0,L Grounded Pass,61:01:13,61:03:13,61:04:13,,TG,i9,G2,g5,,
556,25.0,R Grounded Pass,61:03:19,61:05:19,61:06:19,,G2,g5,TG,c11,,
557,26.0,R Grounded Pass,61:12:01,61:14:01,61:15:01,,TG,d4,G2,g5,,
558,27.0,R Grounded Pass,61:13:14,61:15:14,61:16:14,,G2,g7,TG,d7,,
559,8.0,R Unsucc Pass,61:23:05,61:25:05,61:26:05,,B4,c7,TB,g2,,
560,28.0,R Grounded Pass,61:27:18,61:29:18,61:30:18,,TG,b2,G2,c2,,
561,29.0,R Grounded Pass,61:31:17,61:33:17,61:34:17,,G2,c3,TG,e5,,
562,8.0,L Grounded Pass,61:43:06,61:45:06,61:46:06,,TB,h4,B4,b3,,
563,9.0,R Unsucc Pass,61:46:16,61:48:16,61:49:16,,B4,c2,TB,f2,,
564,1.0,R Aerial Pass,61:54:18,61:56:18,61:57:18,,G2,h2,TG,c11,Through Ball,
565,30.0,R Grounded Pass,62:07:22,62:09:22,62:10:22,,B6,c10,TB,h3,,
566,31.0,R Grounded Pass,62:10:17,62:12:17,62:13:17,,TB,h3,B6,e5,,
567,32.0,R Grounded Pass,62:13:14,62:15:14,62:16:14,,B6,f6,TB,e11,,
568,33.0,R Grounded Pass,62:17:15,62:19:15,62:20:15,,TB,e11,B6,f7,,
569,34.0,R Grounded Pass,62:28:10,62:30:10,62:31:10,,TG,g7,G2,e2,,
570,1.0,L Goal,62:49:03,62:51:03,62:52:03,,TG,c11,s8,,,
571,2.0,R Aerial Pass,63:11:15,63:13:15,63:14:15,,G2,e6,TG,g10,HLs,
572,9.0,L Grounded Pass,63:52:18,63:54:18,63:55:18,,B5,e4,TB,d1,,
573,8.0,R Goal,63:53:08,63:55:08,63:56:08,,TB,d1,s13,Tap In,,
574,35.0,R Grounded Pass,63:58:24,64:00:24,64:01:24,,TG,c5,G2,e6,,
575,36.0,R Grounded Pass,64:04:15,64:06:15,64:07:15,,G2,g6,TG,i9,,
576,37.0,R Grounded Pass,64:16:07,64:18:07,64:19:07,,TG,g4,G2,e7,,
577,38.0,R Grounded Pass,64:56:05,64:58:05,64:59:05,,TG,b9,G2,d4,,
578,39.0,R Grounded Pass,64:57:11,64:59:11,65:00:11,,G2,d4,TG,e2,,
579,40.0,R Grounded Pass,65:12:22,65:14:22,65:15:22,,TG,d7,G2,b3,,
