indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
121,4.0,L Shot On,63:59:24,64:01:24,64:02:24,,G2,g2,s15,nan,nan,,g,2,7,2,0,2,2,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s15,64
130,6.0,R Shot On,65:22:12,65:24:12,65:25:12,,G3,g9,s4,nan,nan,,g,9,7,9,13,4,2,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s4,65
133,7.0,R Shot On,65:34:19,65:36:19,65:37:19,,TB,c11,s15,nan,nan,,c,11,3,11,13,2,2,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s15,65
135,1.0,Own Goal,65:44:23,65:46:23,65:47:23,,TB,h6,s21,Bloopers,nan,,h,6,8,6,0,6,3,6.708203932499369,63.43494882292201,1,1,1,0,0,0,0,nan,nan,L Grounded Pass,0,1,s21,65
142,3.0,R Shot Post,66:10:15,66:12:15,66:13:15,,G2,c2,s18,Bloopers,nan,,c,2,3,2,0,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s18,66
147,3.0,R Shot Wide,66:40:23,66:42:23,66:43:23,,B5,e4,OT 5,nan,nan,,e,4,5,4,0,4,0,4.0,90.0,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 5,66
151,4.0,R Shot Wide,67:20:01,67:22:01,67:23:01,,G3,g4,OT 5,nan,nan,,g,4,7,4,0,4,2,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 5,67
152,5.0,R Shot Wide,67:42:21,67:44:21,67:45:21,,G2,a3,OT 5,nan,nan,,a,3,1,3,0,3,4,5.0,36.86989764584402,1,0,0,0,0,0,0,nan,nan,R Shot Wide,0,0,OT 5,67
154,8.0,R Shot On,68:06:04,68:08:04,68:09:04,,G3,f3,s16,nan,nan,,f,3,6,3,0,3,1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s16,68
162,5.0,L Shot On,69:07:06,69:09:06,69:10:06,,G2,g2,s15,nan,nan,,g,2,7,2,0,2,2,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,nan,nan,L Grounded Pass,0,1,s15,69
