,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
340,B4,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s22
342,G3,2.23606797749979,63.43494882292201,1,1,1,0,0,0,1,0,s24
344,TB,2.0,90.0,1,1,0,0,0,0,0,0,s16
347,TB,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s22
350,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s8
352,B3,3.1622776601683795,18.43494882292201,1,1,1,0,0,0,0,0,s13
353,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s22
356,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s10
363,TG,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s17
365,B4,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,s13
367,TG,2.0,90.0,1,1,1,0,0,0,0,0,s24
369,TG,2.0,90.0,1,1,1,0,0,0,0,0,s19
372,B5,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 6
373,TB,3.0,90.0,1,1,1,0,0,0,0,0,s22
375,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s7
376,TG,2.0,90.0,1,1,1,0,0,0,0,0,s20
378,TB,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s21
379,TG,5.0990195135927845,78.6900675259798,1,1,1,0,0,0,0,0,s8
381,TB,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,1,0,s22
385,TG,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s14
386,TG,5.656854249492381,44.99999999999999,1,1,1,0,0,0,0,0,s10
390,TB,3.0,90.0,1,1,1,0,0,0,0,0,s18
391,TG,3.0,90.0,1,1,1,0,0,0,0,0,s19
393,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s17
395,TG,3.0,90.0,1,1,1,0,0,0,0,0,s21
396,TG,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s10
397,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s13
398,TB,5.385164807134504,68.19859051364821,1,1,1,0,0,0,0,0,s17
406,G5,2.0,90.0,1,0,0,0,0,0,0,0,OT 1
413,TB,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,0,s16
415,G5,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
417,B3,4.123105625617661,75.96375653207352,1,0,0,0,0,0,0,0,OT 5
427,B3,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s15
429,B3,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,0,OT 6
430,TG,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 8
433,TB,2.0,90.0,1,1,1,0,0,0,0,1,s17
438,TB,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s6
441,B6,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,s19
460,G4,2.0,90.0,1,1,0,0,0,0,0,0,s10
462,G5,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s12
469,TB,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,1,s15
470,G5,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s22
475,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s11
477,G4,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s11
478,G5,2.0,90.0,1,1,1,0,0,0,0,0,s15
482,TG,5.0,90.0,1,1,0,0,0,0,0,0,s15
